Start_Node,End_Node,Pipe_Length (m),Pipe_Diameter (cm),geometry
0,1,418.43310326782284,26.725791526511987,"LINESTRING (59.64202383114241 70.80610212801452, 67.31170931994006 73.89451390389642)"
0,2,492.6052429311484,40.29131913102003,"LINESTRING (59.64202383114241 70.80610212801452, 60.89478444946504 53.60640463593598)"
0,8,166.8518775276863,45.91858587391154,"LINESTRING (59.64202383114241 70.80610212801452, 58.62284373916237 55.69687029213172)"
0,9,486.3756347590897,13.365106490375315,"LINESTRING (59.64202383114241 70.80610212801452, 59.887171570462584 89.48270123734056)"
0,11,244.05524140620105,25.72415630237604,"LINESTRING (59.64202383114241 70.80610212801452, 65.44015377153796 64.41164774873603)"
0,16,206.38345789118958,14.009822548915064,"LINESTRING (59.64202383114241 70.80610212801452, 41.52237403733394 72.86271962714605)"
0,25,72.65728713620896,10.663699225303915,"LINESTRING (59.64202383114241 70.80610212801452, 64.19077736891018 73.7977164833799)"
0,33,73.74436603682118,36.468747305758264,"LINESTRING (59.64202383114241 70.80610212801452, 57.65391738968598 72.49790431496818)"
0,37,361.4050651759946,34.09797767866351,"LINESTRING (59.64202383114241 70.80610212801452, 50.149546482196286 83.07722494480647)"
0,45,256.06804749531256,16.52076455259545,"LINESTRING (59.64202383114241 70.80610212801452, 60.701253974290104 69.42014623788506)"
1,9,151.93473171624757,19.352513323722565,"LINESTRING (67.31170931994006 73.89451390389642, 59.887171570462584 89.48270123734056)"
1,11,326.28663784635467,10.948310145780734,"LINESTRING (67.31170931994006 73.89451390389642, 65.44015377153796 64.41164774873603)"
1,20,163.78615321255003,43.39788822777615,"LINESTRING (67.31170931994006 73.89451390389642, 76.13386772967962 87.09361435705775)"
1,25,309.93428945499016,48.98762384194206,"LINESTRING (67.31170931994006 73.89451390389642, 64.19077736891018 73.7977164833799)"
1,33,211.64393614221066,15.418381471787633,"LINESTRING (67.31170931994006 73.89451390389642, 57.65391738968598 72.49790431496818)"
1,37,420.5985019753186,19.259008550611924,"LINESTRING (67.31170931994006 73.89451390389642, 50.149546482196286 83.07722494480647)"
1,45,419.3132723450507,44.73638095787736,"LINESTRING (67.31170931994006 73.89451390389642, 60.701253974290104 69.42014623788506)"
2,7,264.80767915508056,47.058551918247396,"LINESTRING (60.89478444946504 53.60640463593598, 59.45253201706765 39.440712907156026)"
2,8,207.86859920075702,26.785095312272414,"LINESTRING (60.89478444946504 53.60640463593598, 58.62284373916237 55.69687029213172)"
2,11,213.15190845159253,12.024898890762966,"LINESTRING (60.89478444946504 53.60640463593598, 65.44015377153796 64.41164774873603)"
2,33,412.57153655069806,11.575673347712776,"LINESTRING (60.89478444946504 53.60640463593598, 57.65391738968598 72.49790431496818)"
2,34,197.68076725892539,32.95799464276042,"LINESTRING (60.89478444946504 53.60640463593598, 72.61257217510038 37.507176399946744)"
2,44,144.0767181680807,25.715804355727162,"LINESTRING (60.89478444946504 53.60640463593598, 69.22714754836181 43.61252655879676)"
2,45,88.10975384388807,11.14609710310618,"LINESTRING (60.89478444946504 53.60640463593598, 60.701253974290104 69.42014623788506)"
2,47,260.0119043979838,33.33009569250227,"LINESTRING (60.89478444946504 53.60640463593598, 55.59732129637208 42.479622752433386)"
3,4,266.9594445139288,10.452101463560899,"LINESTRING (26.522342331587158 70.196564091166, 22.215490999229537 78.88625367965416)"
3,16,428.40891968130825,41.494878325970916,"LINESTRING (26.522342331587158 70.196564091166, 41.52237403733394 72.86271962714605)"
3,21,149.5574134007288,22.257312908134864,"LINESTRING (26.522342331587158 70.196564091166, 28.2819604981983 86.58288086649004)"
3,31,221.44607315077997,11.610320120369284,"LINESTRING (26.522342331587158 70.196564091166, 17.493852049787606 67.65320078621826)"
3,43,413.78258250216095,33.53408883932613,"LINESTRING (26.522342331587158 70.196564091166, 14.939886637179267 54.962983921968615)"
4,21,420.63062483703806,25.90737657732219,"LINESTRING (22.215490999229537 78.88625367965416, 28.2819604981983 86.58288086649004)"
4,31,223.0749841904457,48.95201653428598,"LINESTRING (22.215490999229537 78.88625367965416, 17.493852049787606 67.65320078621826)"
4,38,256.60581047900644,31.76794650014809,"LINESTRING (22.215490999229537 78.88625367965416, 6.953983703420519 85.37693620024336)"
5,10,186.4786508821773,21.009567241480333,"LINESTRING (36.03502756454486 31.398030962803634, 40.16760086738923 43.999979942000124)"
5,17,469.64969528869045,38.37755458535899,"LINESTRING (36.03502756454486 31.398030962803634, 39.502404110963575 35.13239067385583)"
5,18,103.38969458371113,20.859680101708452,"LINESTRING (36.03502756454486 31.398030962803634, 48.44184781162827 26.315070136709785)"
5,24,470.1872403506615,46.1697316563026,"LINESTRING (36.03502756454486 31.398030962803634, 41.647446832321435 21.324203068075455)"
5,32,357.73990332590444,24.988878820295056,"LINESTRING (36.03502756454486 31.398030962803634, 46.58635150265481 30.241586156608)"
5,35,289.20746870902906,31.99474251104821,"LINESTRING (36.03502756454486 31.398030962803634, 24.570494684156195 27.122095453560313)"
5,46,64.69657735302314,12.022924152969154,"LINESTRING (36.03502756454486 31.398030962803634, 41.487391216741464 18.045064229667783)"
5,48,264.0182863199037,27.04484951808923,"LINESTRING (36.03502756454486 31.398030962803634, 46.89690050191495 19.650717006278207)"
6,23,233.48664725122953,43.2945415864398,"LINESTRING (24.339204237208012 2.4278415382523733, 13.94181343616243 5.218227476257664)"
6,41,122.54846538880516,42.22595221453368,"LINESTRING (24.339204237208012 2.4278415382523733, 9.465238173069224 2.3103045436463243)"
7,8,345.3843215752956,18.97274235414105,"LINESTRING (59.45253201706765 39.440712907156026, 58.62284373916237 55.69687029213172)"
7,10,487.0179083157286,19.043162840422507,"LINESTRING (59.45253201706765 39.440712907156026, 40.16760086738923 43.999979942000124)"
7,18,302.9849649790363,42.69221248852947,"LINESTRING (59.45253201706765 39.440712907156026, 48.44184781162827 26.315070136709785)"
7,32,371.63897439977563,47.21593680677302,"LINESTRING (59.45253201706765 39.440712907156026, 46.58635150265481 30.241586156608)"
7,34,80.80270365470756,13.814436850920142,"LINESTRING (59.45253201706765 39.440712907156026, 72.61257217510038 37.507176399946744)"
7,44,237.95014811764764,28.00234557704901,"LINESTRING (59.45253201706765 39.440712907156026, 69.22714754836181 43.61252655879676)"
7,47,102.36131832402315,23.498171158569157,"LINESTRING (59.45253201706765 39.440712907156026, 55.59732129637208 42.479622752433386)"
8,11,325.75812599142967,44.827538218297576,"LINESTRING (58.62284373916237 55.69687029213172, 65.44015377153796 64.41164774873603)"
8,25,472.3169711963696,13.34099658720075,"LINESTRING (58.62284373916237 55.69687029213172, 64.19077736891018 73.7977164833799)"
8,33,347.79997961223734,18.445037702321496,"LINESTRING (58.62284373916237 55.69687029213172, 57.65391738968598 72.49790431496818)"
8,44,84.5613717414897,40.09873350345977,"LINESTRING (58.62284373916237 55.69687029213172, 69.22714754836181 43.61252655879676)"
8,45,209.59979224328728,12.051753959248623,"LINESTRING (58.62284373916237 55.69687029213172, 60.701253974290104 69.42014623788506)"
8,47,297.7985207483832,29.70141522857157,"LINESTRING (58.62284373916237 55.69687029213172, 55.59732129637208 42.479622752433386)"
9,20,231.4434902599635,27.6842813871888,"LINESTRING (59.887171570462584 89.48270123734056, 76.13386772967962 87.09361435705775)"
9,25,425.1398047138276,23.376047159549948,"LINESTRING (59.887171570462584 89.48270123734056, 64.19077736891018 73.7977164833799)"
9,33,416.60195211949514,25.782892612756953,"LINESTRING (59.887171570462584 89.48270123734056, 57.65391738968598 72.49790431496818)"
9,37,325.32395904644966,31.19762347720932,"LINESTRING (59.887171570462584 89.48270123734056, 50.149546482196286 83.07722494480647)"
9,39,218.05607530971736,16.454694335535326,"LINESTRING (59.887171570462584 89.48270123734056, 54.47245557455129 92.1288494532286)"
9,42,164.90136819345986,32.87983513134371,"LINESTRING (59.887171570462584 89.48270123734056, 71.49641673321021 95.01192655525159)"
10,17,97.64344319590819,42.21729317199945,"LINESTRING (40.16760086738923 43.999979942000124, 39.502404110963575 35.13239067385583)"
10,18,209.7039575689493,40.40643719160636,"LINESTRING (40.16760086738923 43.999979942000124, 48.44184781162827 26.315070136709785)"
10,32,235.9276327434738,16.155996187750947,"LINESTRING (40.16760086738923 43.999979942000124, 46.58635150265481 30.241586156608)"
10,47,354.1203162968331,15.969978789658956,"LINESTRING (40.16760086738923 43.999979942000124, 55.59732129637208 42.479622752433386)"
11,25,346.17192093390804,20.726974709796533,"LINESTRING (65.44015377153796 64.41164774873603, 64.19077736891018 73.7977164833799)"
11,33,81.54866283856563,24.44298905364149,"LINESTRING (65.44015377153796 64.41164774873603, 57.65391738968598 72.49790431496818)"
