Start_Node,End_Node,Pipe_Length (m),Pipe_Diameter (cm),geometry
0,1,112.5716742746937,10.972638657258154,"LINESTRING (24.27131890761374 59.56926890881284, 70.69251865816727 50.698158072074776)"
0,2,354.56416450551217,35.81889183628671,"LINESTRING (68.86810895533614 58.455643243202, 27.089889657299373 70.90211496092452)"
0,8,225.74239243053069,17.084427176281956,"LINESTRING (57.73657080679304 76.3241604058116, 64.10426262823314 74.10442791154546)"
0,9,303.42827646588114,47.61834337411657,"LINESTRING (36.922074354278394 55.32318631339169, 65.0368850984515 74.20504217801792)"
0,11,463.0265895704372,48.157143080103495,"LINESTRING (79.4303085200404 62.37853030734279, 42.32108514756699 73.29238882225991)"
0,16,199.71689165954996,46.59457560881794,"LINESTRING (40.448212415181075 77.92271976810694, 71.5047651105807 62.86982082125055)"
0,25,264.1531692142519,24.806348010217775,"LINESTRING (65.05226406748984 72.63628622254046, 26.187432130155955 77.076587200387)"
0,33,402.22045541721945,10.618264661154697,"LINESTRING (50.315142346871426 74.79372398323224, 39.20297606183671 76.86569685488601)"
0,37,191.51926619664897,47.132742503509014,"LINESTRING (43.35210072404979 50.32512954440895, 74.32291858515582 52.73860030358401)"
0,45,130.7919639315172,27.127365932692573,"LINESTRING (39.15881825542489 78.50185901152415, 77.03642881625336 67.20313664369858)"
1,9,215.90058116550722,48.666192761746785,"LINESTRING (57.91023273018796 63.45336565934959, 37.592646301883875 59.85993636109748)"
1,11,164.48851490160177,48.54479908357011,"LINESTRING (60.35110736462231 72.5712358831304, 67.4947426235509 73.68854428383662)"
1,20,471.87906093702924,44.120378218694405,"LINESTRING (25.472366182921423 64.83260914107744, 23.453525600998656 66.48586646971206)"
1,25,423.2481518257668,21.77795568278343,"LINESTRING (46.49183008240262 76.63112548274898, 41.05490075312472 53.512010492828175)"
1,33,353.36150260416935,25.403909144077012,"LINESTRING (28.57950092317015 72.84531895152416, 57.09308379897566 53.03368028368371)"
1,37,448.58423607508706,44.045466860674274,"LINESTRING (25.046408366899847 71.0290739437736, 24.36578038185161 74.65580177871068)"
1,45,421.4688307596458,22.676880206251106,"LINESTRING (62.374533629389774 52.44046341925699, 25.090262845111514 79.59918735503527)"
2,7,174.62802355441434,16.7797098674437,"LINESTRING (42.45624774536722 61.11926441200673, 68.76797403545015 78.41745732151577)"
2,8,457.0235993959911,32.27205049833401,"LINESTRING (79.16006382937226 72.60134555776824, 42.57557513185495 52.50502150096006)"
2,11,315.7368967662603,47.44619096643124,"LINESTRING (66.6288149556462 66.75212749207415, 45.453320554818575 77.19063155284208)"
2,33,422.976062065625,37.84119186699892,"LINESTRING (26.67184893836908 64.77875312872578, 20.681218686045145 64.05981925982378)"
2,34,458.4365199693973,32.8024468035746,"LINESTRING (23.378196540910242 53.564537488042156, 27.05157480662629 69.4763090634819)"
2,44,227.20138998874555,13.88705975083074,"LINESTRING (64.7626927559254 67.5010629529148, 77.73035290847253 61.24611738571112)"
2,45,144.0207698110707,34.60028906796679,"LINESTRING (37.14272517691164 76.0579738456838, 33.41575031116716 78.89667618321835)"
2,47,191.17406501677667,49.60215400417053,"LINESTRING (20.72926848138898 79.09636480122917, 22.589594717034565 76.73429341094213)"
3,4,270.8431154505025,15.60336060946096,"LINESTRING (51.66206654517799 79.78894388357901, 24.427793884123933 66.61562853203962)"
3,16,427.20590636899726,30.73318609454947,"LINESTRING (78.15815213714595 65.69293532510446, 57.763918288115754 70.87246066953851)"
3,21,444.2922333025374,45.094922877118215,"LINESTRING (47.27246388606639 68.8267424025219, 55.058858715386016 77.03474031472967)"
3,31,102.78085221247628,39.63074471016817,"LINESTRING (22.726782820487472 58.42889568776691, 77.02468904459352 76.70791351672749)"
3,43,304.2989210310263,37.88062963981072,"LINESTRING (47.33940516714277 68.6039779340461, 36.64287097886796 55.64363479171284)"
4,21,266.9644012595116,38.09936335948437,"LINESTRING (47.82190429639893 60.60056684078158, 55.01936671105233 52.332039108949544)"
4,31,188.8431241882921,24.379646048790207,"LINESTRING (78.46368845996999 79.58632233438809, 61.88970284118471 66.08289099032362)"
4,38,147.94614693347313,21.743673770579733,"LINESTRING (38.571656977179664 74.41385059120846, 61.083870353232754 54.87850818034674)"
5,10,235.0460685614512,42.374446219140545,"LINESTRING (74.65563106963054 74.67611728769506, 76.98799479751544 71.7715852516508)"
5,17,477.16388156500767,42.404535787167234,"LINESTRING (56.80491175614739 62.547291088718566, 75.9637090012408 75.98191668501225)"
5,18,229.2811728083021,44.68289274320415,"LINESTRING (22.713120206371364 50.79100923491756, 42.58780201268297 74.31659992345499)"
5,24,307.51624869734644,46.529622102258855,"LINESTRING (79.23656775889667 54.512506733105845, 55.64784292112811 61.426725698930646)"
5,32,381.2075835580711,30.453695954437514,"LINESTRING (78.19486386887618 75.26356769407126, 70.29972228266827 64.06079479384911)"
5,35,245.4518409517176,30.060651787487984,"LINESTRING (44.88917014025991 58.20221215792119, 23.382529799055625 75.9416712876516)"
5,46,488.7128330883843,41.931807158671006,"LINESTRING (68.77406054780465 79.99153019858392, 79.79821022443431 66.66295116807882)"
5,48,484.9789179768445,35.99855723111061,"LINESTRING (66.13924491083063 78.34297189647285, 70.97884344064468 57.42044305229593)"
6,23,200.71291833014567,38.07867509030814,"LINESTRING (47.03264811860561 53.87478245454485, 77.24306163552333 68.1852390335264)"
6,41,298.89940235695417,41.83170677744404,"LINESTRING (33.71856833020776 70.1510205321757, 57.08769442747375 60.74488154098522)"
7,8,220.35132392670786,45.60021367270265,"LINESTRING (26.81345553197774 70.14719586778399, 51.2184620542276 73.16955175206918)"
7,10,213.93619775098705,23.51980627406143,"LINESTRING (51.209810066719605 75.5654450095562, 53.114410326469134 66.82813914606159)"
7,18,114.75477894181311,25.02331810559776,"LINESTRING (72.5992161595007 62.10448598637191, 28.04091370703844 50.86348028940017)"
7,32,343.82573359195874,13.75927759363476,"LINESTRING (65.30823534041714 68.60928654060393, 62.244786085953415 56.388924845267326)"
7,34,301.07160929154463,33.13120563984696,"LINESTRING (28.182288535206187 50.43633997003646, 41.03525352839582 67.69753060563899)"
7,44,120.59150049999573,11.437690951869683,"LINESTRING (43.53464270598394 63.12424766071187, 74.2495216696249 60.447664010699015)"
